,ma_khach_hang,ngay_binh_luan,gio_binh_luan,ma_san_pham,word_pro3,so_sao,word_pro4,negative_words,negative_count,positive_words,positive_count,star_cleaned,joined_positive_words,joined_negative_words
9775,1222,27/07/2020,14:22,422215804,dầu okieee lắm thích cảm_giác một_tí,5,dầu okieee lắm thích cảm giác một tí,[],0,['thích'],1,5,thích,
9776,621,30/12/2021,13:41,422212100,hôm thế_này mùi khó_chịu không_thích mùi,3,hôm thế này mùi khó chịu không thích mùi,"['khó chịu', 'không thích']",2,['thích'],1,1,thích,"khó_chịu, không_thích"
9777,475,11/4/2023,9:15,422216416,apply lớp dưỡng mỏng thấm cực thích lớp dưỡng_hơi tán lớp finish đẹp không_xuống tông dầu,5,apply lớp dưỡng mỏng thấm cực thích lớp dưỡng hơi tán lớp finish đẹp không xuống tông dầu,[],0,['thích'],1,5,thích,
9778,2419,3/11/2021,22:17,422205163,thử đầu êm giá tiền mùi dễ_chịu lắm,5,thử đầu êm giá tiền mùi dễ chịu lắm,[],0,"['êm', 'dễ chịu']",2,5,"êm, dễ_chịu",
9779,2754,6/6/2022,14:56,248700052,thích dầu_tẩy tẩy sạch không_bị bóng dầu,5,thích dầu tẩy tẩy sạch không bị bóng dầu,['bóng'],1,"['thích', 'tẩy sạch']",2,5,"thích, tẩy_sạch",bóng
9780,708,28/04/2023,8:24,422216594,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
9781,1631,20/09/2024,9:00,422205346,dậy môi_mềm vscn khô căng môi mốc trắng môi cảm_giác hút ẩm ngược_lại í mediheal,3,dậy môi mềm vscn khô căng môi mốc trắng môi cảm giác hút ẩm ngược lại í mediheal,[],0,['trắng'],1,5,trắng,
9782,1593,12/2/2023,9:09,327500002,aaaa megaduo cải_thiện,5,aaaa megaduo cải thiện,[],0,['cải thiện'],1,5,cải_thiện,
9783,504,6/11/2022,10:24,422210400,ý_kiến hhtk dầu chữ ưu_điểm giá hợp_lý khả_năng chống nắng tốt nhược_điểm kết_cấu í ẹ lắm màu hồng bôi mỏng không_bôi trắng_bóc chống nắng không_khô dính_dính lỡ_quẹt móng dính chống nắng màu tệp bôi chống nắng không_khô kềm dầu màu nhẹ_mặt không_khô đổi,3,ý kiến hhtk dầu chữ ưu điểm giá hợp lý khả năng chống nắng tốt nhược điểm kết cấu í ẹ lắm màu hồng bôi mỏng không bôi trắng bóc chống nắng không khô dính dính lỡ quẹt móng dính chống nắng màu tệp bôi chống nắng không khô kềm dầu màu nhẹ mặt không khô đổi,[],0,"['hợp', 'tốt', 'trắng', 'nhẹ']",4,5,"hợp, tốt, trắng, nhẹ",
9784,2349,1/5/2023,12:01,308500037,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9785,1371,5/7/2024,10:28,422220469,thử tuýt đổ dầu khuyên dầu mụn_nhờn thử tuýt hợp không_nhé,4,thử tuýt đổ dầu khuyên dầu mụn nhờn thử tuýt hợp không nhé,['nhờn'],1,['hợp'],1,5,hợp,nhờn
9786,2275,11/3/2021,4:05,100230069,đỉnh chóp,5,đỉnh chóp,[],0,['đỉnh'],1,5,đỉnh,
9787,792,4/4/2021,1:56,355500011,rát sạch không_thích lắm rít nhạy_cảm không_ưng,3,rát sạch không thích lắm rít nhạy cảm không ưng,"['rát', 'không thích']",2,"['thích', 'ưng']",2,5,"thích, ưng","rát, không_thích"
9789,2291,23/09/2020,12:51,100150058,nổi mụn không,3,nổi mụn không,[],0,[],0,5,,
9790,2532,15/11/2020,16:10,100210020,eucerin m phẩm_đức ngờ ngoại_lệ mụn đầu trắng đầu đen cải_thiệu rõ_rệt tuần,5,eucerin m phẩm đức ngờ ngoại lệ mụn đầu trắng đầu đen cải thiệu rõ rệt tuần,[],0,['trắng'],1,5,trắng,
9791,507,21/04/2023,19:51,422203146,hối_tiếc tệ,1,hối tiếc tệ,['tệ'],1,[],0,1,,tệ
9792,2355,30/04/2023,18:26,422205160,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9793,3341,17/04/2019,18:08,223600034,mịn hợp giá tiền,5,mịn hợp giá tiền,[],0,"['mịn', 'hợp']",2,5,"mịn, hợp",
9794,618,12/2/2022,10:55,253900006,kiềm dầu tốt_nhiên nâng tông trắng_bệch trắng ngâm,4,kiềm dầu tốt nhiên nâng tông trắng bệch trắng ngâm,['trắng bệch'],1,"['tốt', 'nâng tông', 'trắng', 'trắng']",4,5,"tốt, nâng_tông, trắng, trắng",trắng_bệch
9795,2415,23/01/2022,16:12,308500013,tác_dụng dầu mụn phút không_nên,5,tác dụng dầu mụn phút không nên,['không nên'],1,[],0,5,,không_nên
9796,2386,28/04/2023,20:39,308500015,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9797,688,30/04/2023,18:36,200400004,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
9798,1294,14/02/2024,14:55,253900003,mùi_thoảng dịu,5,mùi thoảng dịu,[],0,[],0,5,,
9799,764,20/01/2022,17:33,422216594,hàng đóng_gói cẩn_thận shipper,5,hàng đóng gói cẩn thận shipper,[],0,['cẩn thận'],1,5,cẩn_thận,
9800,805,2/5/2023,16:01,308500018,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9801,2395,28/04/2023,9:35,308500015,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9802,2060,11/4/2022,16:56,422207413,hợp không_bị mụn tán vón cục nâng tone,5,hợp không bị mụn tán vón cục nâng tone,"['bị mụn', 'vón']",2,['hợp'],1,5,hợp,"bị_mụn, vón"
9803,1705,27/09/2024,5:28,100220035,thích,5,thích,[],0,['thích'],1,5,thích,
9804,618,12/2/2022,10:55,422212100,kiềm dầu tốt_nhiên nâng tông trắng_bệch trắng ngâm,4,kiềm dầu tốt nhiên nâng tông trắng bệch trắng ngâm,['trắng bệch'],1,"['tốt', 'nâng tông', 'trắng', 'trắng']",4,5,"tốt, nâng_tông, trắng, trắng",trắng_bệch
9805,4264,16/10/2020,11:40,377400002,thấm mùi nhẹ ẩm tốt,5,thấm mùi nhẹ ẩm tốt,[],0,"['nhẹ', 'tốt']",2,5,"nhẹ, tốt",
9806,545,15/05/2021,20:22,365000017,mặt_nạ tác_dụng thải độc không_mà đắp,4,mặt nạ tác dụng thải độc không mà đắp,[],0,[],0,5,,
9807,2020,20/11/2022,17:12,249500019,tư_vấn,5,tư vấn,[],0,[],0,5,,
9808,121,19/11/2023,11:34,422203609,dưỡng ẩm_phục_hồi tốt ẩm_phục_hồi klairs hỗn_hợp khô tiết_dầu,5,dưỡng ẩm phục hồi tốt ẩm phục hồi klairs hỗn hợp khô tiết dầu,[],0,"['tốt', 'hợp']",2,5,"tốt, hợp",
9809,3524,7/8/2023,23:58,422205820,tẩy cảm_giác sạch_thoáng oreal cocoon hãng tựa cocoon sạch sâu mascara eyeliner tẩy,5,tẩy cảm giác sạch thoáng oreal cocoon hãng tựa cocoon sạch sâu mascara eyeliner tẩy,[],0,[],0,5,,
9810,3418,22/09/2022,16:45,422205163,trải_nghiệm bình,3,trải nghiệm bình,[],0,[],0,5,,
9811,1447,1/5/2023,12:46,422210784,dễ_chịu dịu ổn,5,dễ chịu dịu ổn,[],0,"['dễ chịu', 'ổn']",2,5,"dễ_chịu, ổn",
9812,672,4/5/2023,16:47,422202253,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9813,172,12/11/2022,22:04,205100136,chân_ái,5,chân ái,[],0,['chân ái'],1,5,chân_ái,
9814,1373,12/12/2023,18:07,422200306,bảo sản_xuất hàn_quốc hàng chữ_thái hàng giả,4,bảo sản xuất hàn quốc hàng chữ thái hàng giả,['giả'],1,[],0,5,,giả
9815,529,14/12/2022,18:04,100190059,thích sạch đỡ mụn_ẩn hẳn,5,thích sạch đỡ mụn ẩn hẳn,[],0,['thích'],1,5,thích,
9816,2529,21/06/2021,13:26,204100019,tốt không_gây khô lọ lọ,5,tốt không gây khô lọ lọ,[],0,['tốt'],1,5,tốt,
9817,220,18/01/2022,0:49,223600009,top thiên_khô thích nồng mùi cồn_xíu không_nhiều chấp_nhận nâng tông nhẹ chỗ chấm khô tán không_điều màu độ trắng vừa_phải trôi đánh_xíu phấn_phủ tự_nhiên,5,top thiên khô thích nồng mùi cồn xíu không nhiều chấp nhận nâng tông nhẹ chỗ chấm khô tán không điều màu độ trắng vừa phải trôi đánh xíu phấn phủ tự nhiên,"['nồng', 'mùi cồn']",2,"['thích', 'nhiều', 'nâng tông', 'nhẹ', 'trắng']",5,5,"thích, nhiều, nâng_tông, nhẹ, trắng","nồng, mùi_cồn"
9818,34,25/04/2023,6:04,200400004,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
9819,408,11/4/2023,16:38,422216416,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
9820,730,23/03/2023,10:11,200400003,dầu mụn màu hợp chê thận_thiện,5,dầu mụn màu hợp chê thận thiện,['chê'],1,['hợp'],1,5,hợp,chê
9821,1808,20/06/2024,19:47,422209045,auto không_bị nổi mụn sạch,5,auto không bị nổi mụn sạch,[],0,[],0,5,,
9822,4306,5/12/2023,8:57,343100041,toàn,5,toàn,[],0,[],0,5,,
9823,139,7/6/2023,10:27,422211447,hadalabo nắp trắng gợi_ý loreal_mê,5,hadalabo nắp trắng gợi ý loreal mê,[],0,['trắng'],1,5,trắng,
9824,72,20/10/2021,12:07,318900012,hàng giá tốt shipper dễ_thương vọng tốt,5,hàng giá tốt shipper dễ thương vọng tốt,[],0,"['tốt', 'tốt']",2,5,"tốt, tốt",
9825,2014,21/11/2022,10:13,249500027,ưng dưỡng ẩm tốt nâng tone nhẹ mùi dịu nhẹ mềm,5,ưng dưỡng ẩm tốt nâng tone nhẹ mùi dịu nhẹ mềm,[],0,"['ưng', 'tốt', 'nhẹ', 'dịu nhẹ']",4,5,"ưng, tốt, nhẹ, dịu_nhẹ",
9826,494,4/4/2021,19:55,345800001,trị mụn tốt đỡ mụn hẳn,5,trị mụn tốt đỡ mụn hẳn,[],0,"['trị mụn', 'tốt']",2,5,"trị_mụn, tốt",
9827,2418,15/11/2021,20:17,308500013,đầu mask tâm_lý đeo_lổ nằm không_sợ rớt ẻm móc êm dài_dài,5,đầu mask tâm lý đeo lổ nằm không sợ rớt ẻm móc êm dài dài,['sợ'],1,['êm'],1,5,êm,sợ
9829,4155,17/11/2023,15:39,422207812,tẩy chết ổn thơm,5,tẩy chết ổn thơm,[],0,"['ổn', 'thơm']",2,5,"ổn, thơm",
9830,308,27/12/2020,22:15,422204259,chời siêu_đỉnh nhiêu,5,chời siêu đỉnh nhiêu,[],0,['đỉnh'],1,5,đỉnh,
9831,2025,19/11/2022,14:01,422207413,tư_vấn màu mụn đỏ thử,5,tư vấn màu mụn đỏ thử,[],0,[],0,5,,
9832,997,7/6/2022,0:15,357100011,sạch xả bọt,5,sạch xả bọt,[],0,[],0,5,,
9833,2389,28/04/2023,15:41,422205162,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9834,2635,2/11/2019,10:32,371600006,thấm kiên_trì mờ thâm tốt,5,thấm kiên trì mờ thâm tốt,['thâm'],1,['tốt'],1,5,tốt,thâm
9835,1132,10/10/2024,20:52,422211241,dầu mụn hhtd bôi lượn tán đừng phục_hồi ố,5,dầu mụn hhtd bôi lượn tán đừng phục hồi ố,[],0,[],0,5,,
9836,324,12/9/2020,17:18,422206648,tẩy tốt mùi thơm nhẹ không_chứa cồn tẩy thoáng nhẹ,5,tẩy tốt mùi thơm nhẹ không chứa cồn tẩy thoáng nhẹ,[],0,"['tốt', 'thơm', 'nhẹ', 'nhẹ']",4,5,"tốt, thơm, nhẹ, nhẹ",
9837,2932,15/10/2024,10:22,422217970,hàng lẻ hộp,5,hàng lẻ hộp,[],0,[],0,5,,
9838,494,11/12/2022,0:30,243300007,hình_như lô sản_xuất không_giống mỏng dày không_đều,4,hình như lô sản xuất không giống mỏng dày không đều,[],0,[],0,5,,
9839,916,16/07/2020,9:20,386000015,tệ không_đáng,1,tệ không đáng,"['tệ', 'không đáng']",2,[],0,1,,"tệ, không_đáng"
9840,1713,22/11/2023,12:11,100240016,hàng đóng_gói cẩn_thận miễn chê,4,hàng đóng gói cẩn thận miễn chê,['chê'],1,['cẩn thận'],1,5,cẩn_thận,chê
9841,358,26/10/2018,20:02,205100137,ruột sạch không_hề mìn khô hasaki rẻ ủng_hộ tiếp,5,ruột sạch không hề mìn khô hasaki rẻ ủng hộ tiếp,[],0,[],0,5,,
9842,2395,28/04/2023,9:31,204100054,mùi hương dễ_chịu mát ổn,5,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
9843,3079,23/03/2024,21:08,249500019,ổn cầu thử không_quá xuất_sắc,3,ổn cầu thử không quá xuất sắc,[],0,"['ổn', 'xuất sắc']",2,5,"ổn, xuất_sắc",
9844,1157,11/6/2024,9:45,422207791,không_hợp hợp_sản_phẩm mặt_nạ giấy banobagi chất mặt_nạ ôm màu trộm_vía hợp không_bị kích_ứng,5,không hợp hợp sản phẩm mặt nạ giấy banobagi chất mặt nạ ôm màu trộm vía hợp không bị kích ứng,['không hợp'],1,"['hợp', 'hợp', 'hợp']",3,5,"hợp, hợp, hợp",không_hợp
9845,351,24/09/2019,23:45,422206648,không_bị rát không_bị khô giá tiền,5,không bị rát không bị khô giá tiền,['rát'],1,[],0,5,,rát
9846,777,20/09/2021,16:36,200400004,bàn_thích dịch_vụ hàng hasaki dịch hàng tỉnh,5,bàn thích dịch vụ hàng hasaki dịch hàng tỉnh,[],0,['thích'],1,5,thích,
9847,601,1/10/2022,15:08,327500002,shop đóng_gói cẩn_thận mã_vạch nguồn_gốc rõ_ràng,5,shop đóng gói cẩn thận mã vạch nguồn gốc rõ ràng,[],0,['cẩn thận'],1,5,cẩn_thận,
9848,810,16/07/2020,20:25,100230057,tẩy thử bioderma đợi sạch sâu không_gây kích_ứng kích_ứng thử shop đóng_gói cẩn_thận hàng ủng_hộ,5,tẩy thử bioderma đợi sạch sâu không gây kích ứng kích ứng thử shop đóng gói cẩn thận hàng ủng hộ,[],0,['cẩn thận'],1,5,cẩn_thận,
9849,1108,22/11/2022,15:14,422201504,dịu nhẹ êm,5,dịu nhẹ êm,[],0,"['dịu nhẹ', 'êm']",2,5,"dịu_nhẹ, êm",
9850,2694,5/7/2023,14:42,248700072,tư_vấn thử ổn_rửa không_bị khô,5,tư vấn thử ổn rửa không bị khô,[],0,['ổn'],1,5,ổn,
9851,1495,30/04/2020,20:11,204900128,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
9852,3672,4/9/2019,8:53,422206042,hạt cảm_giác hạt cứng không_nên xước mỏng nhạy_cảm,4,hạt cảm giác hạt cứng không nên xước mỏng nhạy cảm,['không nên'],1,[],0,5,,không_nên
9853,400,20/04/2023,15:33,422208972,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
9854,691,30/04/2023,18:33,100230056,thích hasaki tẩy,5,thích hasaki tẩy,[],0,['thích'],1,5,thích,
9855,1808,3/7/2024,21:08,249500001,tẩy sạch,5,tẩy sạch,[],0,['tẩy sạch'],1,5,tẩy_sạch,
9856,2926,17/08/2024,13:44,422207792,đắp ngủ dậy ẩm_hiệu ổn,5,đắp ngủ dậy ẩm hiệu ổn,[],0,['ổn'],1,5,ổn,
9857,2654,13/03/2023,22:00,357100008,dưỡng ổn_hộp không_hiệu lắm,4,dưỡng ổn hộp không hiệu lắm,[],0,['ổn'],1,5,ổn,
9858,1294,5/10/2023,13:46,422214343,niacinamide trộm_vía ổn,5,niacinamide trộm vía ổn,[],0,['ổn'],1,5,ổn,
9859,433,12/12/2020,16:49,412800003,kém,1,kém,['kém'],1,[],0,1,,kém
9860,2072,30/03/2021,11:06,422203145,săn giá rẻ dưỡng_ẩm không_bị khô dạng milk nâng tone bóng nhẹ mặc_dù dầu phết shop quá_đáo nhiệt_tình đóng_gói k lắm tặng ủng_hộ shop dài_dài yêu,5,săn giá rẻ dưỡng ẩm không bị khô dạng milk nâng tone bóng nhẹ mặc dù dầu phết shop quá đáo nhiệt tình đóng gói k lắm tặng ủng hộ shop dài dài yêu,['bóng'],1,"['nhẹ', 'yêu']",2,5,"nhẹ, yêu",bóng
9861,2286,13/02/2023,22:03,204000059,giá_cả ổn cân_nhắc nắp bình hở bình chảy,4,giá cả ổn cân nhắc nắp bình hở bình chảy,[],0,['ổn'],1,5,ổn,
9862,3401,29/04/2023,18:56,253900007,ổn không_thấy nổi_bật,3,ổn không thấy nổi bật,[],0,"['ổn', 'nổi bật']",2,5,"ổn, nổi_bật",
9864,3065,18/02/2021,9:14,204000033,hương_thơm nhẹ sạch căng bóng khít lỗ chân lông,5,hương thơm nhẹ sạch căng bóng khít lỗ chân lông,['bóng'],1,"['thơm', 'nhẹ']",2,5,"thơm, nhẹ",bóng
9865,600,4/2/2023,23:41,206400019,ẩm mịn,5,ẩm mịn,[],0,['mịn'],1,5,mịn,
9866,102,30/04/2020,22:26,201600182,thích_hợp dầu khô thông_cấp dạng lỏng mùi nồng dễ_chịu bọt sạch,5,thích hợp dầu khô thông cấp dạng lỏng mùi nồng dễ chịu bọt sạch,['mùi nồng'],1,"['thích', 'hợp', 'dễ chịu']",3,5,"thích, hợp, dễ_chịu",mùi_nồng
9867,2468,16/10/2024,17:12,422203371,hôm hôm thử kiểu trắng không_mịn lợn_cợn kiểu tả lắm chống nắng caryophy đánh mịn đẹp biore phủ phấn không_kiềm dầu bôi tí tiếng thấm nguyên_tờ thấm_dầu dầu mùa lạnh khô nhẹ_chút dễ_chịu không_gây cảm_giác ngứa_kích_ứng chủ_yếu tone kiểu bắt lóa chóa kiểu dọi đèn mịn giá rẻ bự hết_mình văn_phòng máy_lạnh không_đòi_hỏi,4,hôm hôm thử kiểu trắng không mịn lợn cợn kiểu tả lắm chống nắng caryophy đánh mịn đẹp biore phủ phấn không kiềm dầu bôi tí tiếng thấm nguyên tờ thấm dầu dầu mùa lạnh khô nhẹ chút dễ chịu không gây cảm giác ngứa kích ứng chủ yếu tone kiểu bắt lóa chóa kiểu dọi đèn mịn giá rẻ bự hết mình văn phòng máy lạnh không đòi hỏi,['không kiềm dầu'],1,"['trắng', 'mịn', 'mịn', 'nhẹ', 'dễ chịu', 'mịn']",6,5,"trắng, mịn, mịn, nhẹ, dễ_chịu, mịn",không_kiềm_dầu
9868,840,5/12/2023,8:02,422210400,chất tán không_nâng tone bôi không_ráo bóng bóng,4,chất tán không nâng tone bôi không ráo bóng bóng,"['bóng', 'bóng']",2,[],0,5,,"bóng, bóng"
9869,2519,17/07/2022,12:00,204100070,nhạy_cảm dị_ứng ẩm eucerin không_hề dấu_hiệu kích_ứng lành_tính nhẹ_dịu retinol obagi khô bác_sĩ liễu kê đỉnh đỉnh tuần mịn_màng ẩm nếp nhăn đi ủng_hộ eucerin,5,nhạy cảm dị ứng ẩm eucerin không hề dấu hiệu kích ứng lành tính nhẹ dịu retinol obagi khô bác sĩ liễu kê đỉnh đỉnh tuần mịn màng ẩm nếp nhăn đi ủng hộ eucerin,['dị ứng'],1,"['nhẹ', 'đỉnh', 'đỉnh', 'mịn']",4,5,"nhẹ, đỉnh, đỉnh, mịn",dị_ứng
9870,1574,2/1/2024,14:22,422209053,trắng khỏe hẳn rcm thử hỗn_hợp,5,trắng khỏe hẳn rcm thử hỗn hợp,[],0,"['trắng', 'hợp']",2,5,"trắng, hợp",
9871,2206,9/10/2022,22:08,422206824,mặt_nạ chất đầu chất khủnggg khiếppp_dưỡng ẩm tốt thoáng dầu rõ_rệt thường_xuyên mụn mịn á_hài_lòng,5,mặt nạ chất đầu chất khủnggg khiếppp dưỡng ẩm tốt thoáng dầu rõ rệt thường xuyên mụn mịn á hài lòng,[],0,"['tốt', 'mịn', 'hài lòng']",3,5,"tốt, mịn, hài_lòng",
9872,656,16/10/2023,20:55,100230059,tốt,5,tốt,[],0,['tốt'],1,5,tốt,
9873,4084,18/08/2023,1:50,256700011,ê bôi bôi vô_mắt,5,ê bôi bôi vô mắt,[],0,[],0,5,,
9874,1302,23/06/2022,20:48,253900004,hớp nắng_mưa không_chịu mùa không_thích_hợp dày mỏng không_thấm đại_vậy sức,5,hớp nắng mưa không chịu mùa không thích hợp dày mỏng không thấm đại vậy sức,['không thích'],1,"['thích', 'hợp']",2,5,"thích, hợp",không_thích
9875,1083,5/6/2022,22:38,422204904,k bảng thành_phần không_ẻm mùi ẻm mùi mùi dễ_chịu brand_pháp mùi ẻm sạch oréal nma tốt,5,k bảng thành phần không ẻm mùi ẻm mùi mùi dễ chịu brand pháp mùi ẻm sạch oréal nma tốt,[],0,"['dễ chịu', 'tốt']",2,5,"dễ_chịu, tốt",
9877,1949,1/8/2024,19:28,422207677,mặt_nạ khít bnbg cảm_giác thoải_mái đi đắp trắng yếu_điểm rít_mặt ẩm,5,mặt nạ khít bnbg cảm giác thoải mái đi đắp trắng yếu điểm rít mặt ẩm,[],0,"['thoải mái', 'trắng']",2,5,"thoải_mái, trắng",
9878,2679,6/7/2021,20:20,243300007,đổ bụi trắng dính phí tiền không_sử_dụng,1,đổ bụi trắng dính phí tiền không sử dụng,['phí'],1,['trắng'],1,1,trắng,phí
9879,2365,30/04/2023,13:50,422205162,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9880,707,28/04/2023,9:42,422206537,mùi hương dễ_chịu mát ổn,5,mùi hương dễ chịu mát ổn,[],0,"['dễ chịu', 'mát', 'ổn']",3,5,"dễ_chịu, mát, ổn",
9881,3525,26/07/2023,16:48,422205820,okla mụn_hẳng sạch_sẽ,4,okla mụn hẳng sạch sẽ,[],0,[],0,5,,
9882,1977,22/03/2023,10:29,249500019,lại_lại chất chống nắng skin không_hợp liên_hệ điện_thoại zalo hãng hasaki,5,lại lại chất chống nắng skin không hợp liên hệ điện thoại zalo hãng hasaki,['không hợp'],1,['hợp'],1,5,hợp,không_hợp
9884,2401,27/04/2023,15:17,204100019,mát ổn,5,mát ổn,[],0,"['mát', 'ổn']",2,5,"mát, ổn",
9885,4031,5/4/2020,19:36,422209720,ổn không_chắc,3,ổn không chắc,[],0,['ổn'],1,5,ổn,
9886,975,16/04/2023,14:54,100150058,bthg dịu xịt mát ẩm bình_xịt makeup ổn,2,bthg dịu xịt mát ẩm bình xịt makeup ổn,[],0,"['mát', 'ổn']",2,1,"mát, ổn",
9887,4038,19/01/2021,0:34,365000011,miếng mask dão không_ôm khuôn_mặt cương ngọc thích,5,miếng mask dão không ôm khuôn mặt cương ngọc thích,[],0,['thích'],1,5,thích,
9888,2514,1/3/2023,2:00,422206537,tốt,4,tốt,[],0,['tốt'],1,5,tốt,
9889,1152,18/12/2022,11:55,422207865,đảm sử thử cảm_giác dưỡng ẩm tốt hàng cũ mùi hương dễ_chịu ngừời xịn mịn_hợp nhạy_cảm_ưng bụng gái hôm dị_ứng nhẹ tắm giá_cả ủng_hộ,5,đảm sử thử cảm giác dưỡng ẩm tốt hàng cũ mùi hương dễ chịu ngừời xịn mịn hợp nhạy cảm ưng bụng gái hôm dị ứng nhẹ tắm giá cả ủng hộ,['dị ứng'],1,"['tốt', 'dễ chịu', 'mịn', 'hợp', 'ưng', 'nhẹ']",6,5,"tốt, dễ_chịu, mịn, hợp, ưng, nhẹ",dị_ứng
9890,407,11/4/2023,18:45,422208975,phâm tôt,5,phâm tôt,[],0,[],0,5,,
9891,121,19/11/2023,12:07,205100136,sạch sâu hợp dầu mụn tẩy sạch êm,5,sạch sâu hợp dầu mụn tẩy sạch êm,[],0,"['hợp', 'tẩy sạch', 'êm']",3,5,"hợp, tẩy_sạch, êm",
9892,374,18/09/2024,12:02,422208977,mê lắm,5,mê lắm,[],0,[],0,5,,
9893,2226,7/3/2024,7:50,200500293,mùi ngọt_xỉu dưỡng_ẩm môi cực tốt màu đo đỏ mỏ lắm,5,mùi ngọt xỉu dưỡng ẩm môi cực tốt màu đo đỏ mỏ lắm,[],0,['tốt'],1,5,tốt,
9894,367,26/10/2018,19:22,205100146,tốt hỗn_hợp tẩy sạch không_khô,4,tốt hỗn hợp tẩy sạch không khô,[],0,"['tốt', 'hợp', 'tẩy sạch']",3,5,"tốt, hợp, tẩy_sạch",
9895,3755,2/1/2020,2:59,345800015,kiểu dầu_lổ chân lông sần_sùi sẹo mụn trình skin kết_hợp lỗ chân_lông khít bắn đầu phục_hồi mịn hiệu_quả lành_sẹo kiên_trì phục_hồi,5,kiểu dầu lổ chân lông sần sùi sẹo mụn trình skin kết hợp lỗ chân lông khít bắn đầu phục hồi mịn hiệu quả lành sẹo kiên trì phục hồi,[],0,"['hợp', 'mịn', 'hiệu quả']",3,5,"hợp, mịn, hiệu_quả",
9896,789,9/11/2021,16:20,422203776,tân_bình,4,tân bình,[],0,[],0,5,,
9897,4074,21/01/2022,16:17,223600040,đầu nổi mụn_chút ngưng không_bị kích_ứng căng mướt nâng tone,5,đầu nổi mụn chút ngưng không bị kích ứng căng mướt nâng tone,[],0,[],0,5,,
9898,3408,3/6/2021,7:10,422204659,thử nóng_rát kiểu bỏng đỡ hiệu_quả,4,thử nóng rát kiểu bỏng đỡ hiệu quả,"['nóng', 'rát']",2,['hiệu quả'],1,5,hiệu_quả,"nóng, rát"
9899,668,30/04/2023,15:29,422204795,không_bền thời,2,không bền thời,[],0,[],0,1,,
9900,2330,5/10/2023,11:39,422214339,đỉnh hình chấm đêm,5,đỉnh hình chấm đêm,[],0,['đỉnh'],1,5,đỉnh,
9901,3102,21/04/2022,11:42,201600072,không_nhìn kĩ_thành màu dính khẩu bết tán,5,không nhìn kĩ thành màu dính khẩu bết tán,[],0,[],0,5,,
9902,2330,3/5/2023,16:20,308500018,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9903,1134,2/9/2024,21:38,422211241,hà_lòng,5,hà lòng,[],0,[],0,5,,
9904,1015,3/5/2023,20:04,422200236,đỉnh mát_dịu liền,5,đỉnh mát dịu liền,[],0,"['đỉnh', 'mát']",2,5,"đỉnh, mát",
9905,2379,29/04/2023,15:44,422205164,dễ_dàng thoải_mái thư_giãn,5,dễ dàng thoải mái thư giãn,[],0,"['dễ dàng', 'thoải mái', 'thư giãn']",3,5,"dễ_dàng, thoải_mái, thư_giãn",
9906,813,5/4/2020,16:52,100230056,skincare mkaup mụn_ẩn tráng đỡ,5,skincare mkaup mụn ẩn tráng đỡ,[],0,[],0,5,,
9907,2402,27/04/2023,14:12,308500009,dễ_dàng,5,dễ dàng,[],0,['dễ dàng'],1,5,dễ_dàng,
